timestamp,pod,cpu_millicores,memory_mib,label
2026-09-19T12:02:14.437Z,webapp-6c56f5488f-ktpzd,1,13,normal
2026-09-19T12:02:19.666Z,webapp-6c56f5488f-ktpzd,1,13,normal
2026-09-19T12:02:24.874Z,webapp-6c56f5488f-ktpzd,1,13,normal
2026-09-19T12:02:30.150Z,webapp-6c56f5488f-ktpzd,1,13,normal
2026-09-19T12:02:35.354Z,webapp-6c56f5488f-ktpzd,1,13,normal
2026-09-19T12:02:40.584Z,webapp-6c56f5488f-ktpzd,1,13,normal
2026-09-19T12:02:45.797Z,webapp-6c56f5488f-ktpzd,1,13,normal
2026-09-19T12:02:51.060Z,webapp-6c56f5488f-ktpzd,1,13,normal
2026-09-19T12:02:56.298Z,webapp-6c56f5488f-ktpzd,1,13,normal
2026-09-19T12:03:01.506Z,webapp-6c56f5488f-ktpzd,1,13,normal
2026-09-19T12:03:06.717Z,webapp-6c56f5488f-ktpzd,1,13,normal
2026-09-19T12:03:11.931Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:03:17.150Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:03:22.363Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:03:27.648Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:03:32.916Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:03:38.109Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:03:43.319Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:03:48.545Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:03:53.768Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:03:58.954Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:04:04.154Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:04:09.365Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:04:14.554Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:04:19.763Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:04:24.985Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:04:30.199Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:04:35.390Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:04:40.601Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:04:45.796Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:04:51.004Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:04:56.225Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:05:01.433Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:05:06.652Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:05:11.864Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:05:17.068Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:05:22.299Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:05:27.497Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:05:32.692Z,webapp-6c56f5488f-ktpzd,0,13,normal
2026-09-19T12:05:37.890Z,webapp-6c56f5488f-ktpzd,0,13,normal
